"age","male","educ","educ0","income","hhincome","white_nh","tea_party","conserv","partyID","pid1","Democrat1","Republican1","milAssert1","intl1","anxiety","cGroup_Endorse","cGroup_Oppose","groupControl","tGroup_Endorse","tGroup_Oppose","cMCheck","tMCheck","cPivot","cCertain","cSucceed","cThreat","tDeploy","tCertain","tSucceed","tThreat","cHot","tHot","cDem","tDem","cFirst","ID"
22,1,1,0,3,3,0,1,3,5,0.666666666666667,0,1,0.625,0.625,0.533333333333333,1,0,0,0,1,1,1,0.777777777777778,0.23,0.37,0.68,0.68,0.24,0.29,0.81,1,0,1,0,1,"R_ezYpxcdwvFb8bZP"
45,1,3,0.25,1,1,0,1,7,7,1,0,1,1,0.0625,0.0666666666666667,0,0,1,0,0,1,1,0.2,1,0.57,1,1,1,0.51,1,0,1,1,0,0,"R_da4IaYXoMe6yytn"
37,1,5,0.5,2,2,0,0,3,2,0.166666666666667,1,0,0.4375,0.5,0.333333333333333,0,0,1,0,0,1,0,0.944444444444444,0.9,0.9,0.69,0.87,0.82,0.82,0.76,1,0,0,1,1,"R_82eXifZUXAER4cB"
60,1,6,0.625,3,3,1,0,3,1,0,1,0,0.1875,0.875,0.333333333333333,1,0,0,0,1,1,1,0.455555555555555,0.41,0.19,0.22,0.16,0.52,0.04,0.19,0,1,0,1,0,"R_7U7BJwSCWgv0b6B"
37,1,9,1,3,3,1,0,4,2,0.166666666666667,1,0,0.0625,0.5,0.666666666666667,0,0,1,0,0,1,1,0.788888888888889,0.76,0.82,0.87,0.06,0.05,0.06,0.08,1,0,1,0,1,"R_8nRHNdN9K56ZCYZ"
50,1,4,0.375,4,4,1,1,7,6,0.833333333333333,0,1,0.25,0.4375,0.333333333333333,1,0,0,0,1,0,1,0.788888888888889,0.5,0.5,0.43,0.01,1,0,0.19,0,1,1,0,1,"R_6Y8foKVGoAMPXGR"
42,1,6,0.625,1,1,0,0,,4,0.5,0,0,0.5,0.5,0.4,1,0,0,0,1,1,1,0.466666666666667,0.5,0.44,0.54,0.47,0.45,0.48,0.45,1,0,0,1,0,"R_6Pw5dghbnyM801T"
32,1,5,0.5,4,4,0,0,1,1,0,1,0,0.4375,0.5,0.4,0,1,0,1,0,0,1,0.222222222222222,0.38,0.36,0.28,0.29,0.39,0.19,0.52,0,1,1,0,1,"R_3y2j1p7fZNDx84l"
19,0,6,0.625,3,3,1,0,1,5,0.666666666666667,0,1,0.25,0.5,0.4,0,0,1,0,0,0,1,0.2,1,0.01,0.32,0.24,1,0.22,0.56,1,0,1,0,1,"R_3WPo1gqRaUk8fch"
57,1,4,0.375,2,2,1,0,7,5,0.666666666666667,0,1,0.875,0.5625,1,1,0,0,0,1,1,1,1,1,0.71,1,1,1,0.49,1,1,0,1,0,0,"R_0q6hSlkZntb3JlP"
70,1,9,1,3,3,1,0,2,1,0,1,0,0.3125,0.5,0.266666666666667,0,1,0,1,0,1,1,0.2,0.98,0.52,0.69,0.51,0.99,0.46,0.03,0,1,0,1,1,"R_afalhvjLESunXKZ"
85,0,9,1,6,7,1,0,6,7,1,0,1,0.6875,0.6875,0.466666666666667,1,0,0,0,1,1,1,0.255555555555556,0.58,0.46,0.48,0.43,0.75,0.53,0.78,0,1,1,0,0,"R_9WW3LNHjcuA3nRr"
32,0,4,0.375,6,7,1,1,1,7,1,0,1,0.75,0.75,0.133333333333333,0,1,0,1,0,1,0,1,0.99,1,0.5,1,1,1,1,0,1,0,1,1,"R_6VjffPcaKBb8C5n"
63,0,7,0.75,2,2,1,1,7,7,1,0,1,0.75,0.3125,0.533333333333333,0,0,1,0,0,1,1,0.922222222222222,1,0.88,1,1,1,0.62,1,0,1,0,1,1,"R_4ZQzPWlfmh5Vyu1"
64,1,5,0.5,5,5,1,0,6,5,0.666666666666667,0,1,0.8125,0.625,0.266666666666667,0,0,1,0,0,1,1,0.877777777777778,1,0.87,0.61,0.87,1,0.72,0.84,0,1,0,1,0,"R_8l7VtNjx3fpfka1"
25,0,9,1,5,5,1,0,7,7,1,0,1,0.75,0.4375,0.4,0,0,1,0,0,0,1,0.855555555555556,0.87,0.79,0.87,0.84,0.92,0.85,0.91,0,1,1,0,1,"R_aWWrxhuNnvTMlDv"
30,0,7,0.75,1,1,1,0,3,1,0,1,0,0.3125,0.6875,0.533333333333333,0,0,1,0,0,0,1,0.322222222222222,0.43,0.35,0.57,0.58,0.22,0.52,0.63,0,1,1,0,1,"R_cTFRcQLk2NX9UDr"
38,0,4,0.375,1,1,1,0,4,6,0.833333333333333,0,1,0.5,0.6875,0.333333333333333,0,0,1,0,0,1,1,0.544444444444445,0.44,0.2,0.46,0.23,0.14,0.24,0.79,0,1,1,0,1,"R_09i6mxoduELV205"
64,0,9,1,5,5,1,0,1,1,0,1,0,0.625,0.5,0.4,1,0,0,0,1,1,1,0.122222222222222,0.21,0.47,0.69,0.31,0.61,0.4,1,1,0,1,0,0,"R_1NUtrxwAwUaGj2t"
